ID,patch,LC_Class,SubClass,CDLClass,CDLName,DateCode,Common,apiary,patchType
1,1,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops1
1,15,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops15
1,16,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops16
1,17,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops17
1,5,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops5
1,19,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops19
1,7,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops7
1,8,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops8
1,9,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops9
1,10,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops10
1,11,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops11
1,12,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops12
1,52,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops52
1,14,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops14
1,28,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops28
1,42,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops42
1,30,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops30
1,18,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops18
1,45,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops45
1,33,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops33
1,34,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops34
1,22,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops22
1,49,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops49
1,37,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops37
1,25,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops25
1,78,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops78
1,27,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops27
1,41,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops41
1,55,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops55
1,43,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops43
1,44,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops44
1,71,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops71
1,46,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops46
1,47,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops47
1,35,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops35
1,62,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops62
1,50,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops50
1,68,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops68
1,91,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops91
1,40,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops40
1,67,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops67
1,85,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops85
1,56,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops56
1,70,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops70
1,88,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops88
1,63,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops63
1,73,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops73
1,61,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops61
1,53,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops53
1,80,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops80
1,81,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops81
1,82,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops82
1,83,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops83
1,101,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops101
1,79,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops79
1,86,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops86
1,87,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops87
1,66,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops66
1,95,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops95
1,96,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops96
1,99,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops99
1,100,Cultivated Crops,1,1,LC_1,1,clover,1,Cultivated Crops100
2,64,Cultivated Crops,1,1,LC_1,1,corn,1,Cultivated Crops64
2,13,Cultivated Crops,1,1,LC_1,1,corn,1,Cultivated Crops13
2,24,Cultivated Crops,1,1,LC_1,1,corn,1,Cultivated Crops24
2,77,Cultivated Crops,1,1,LC_1,1,corn,1,Cultivated Crops77
2,2,Cultivated Crops,1,1,LC_1,1,corn,1,Cultivated Crops2
2,3,Cultivated Crops,1,1,LC_1,1,corn,1,Cultivated Crops3
2,6,Cultivated Crops,1,1,LC_1,1,corn,1,Cultivated Crops6
2,38,Cultivated Crops,1,1,LC_1,1,corn,1,Cultivated Crops38
2,84,Cultivated Crops,1,1,LC_1,1,corn,1,Cultivated Crops84
2,76,Cultivated Crops,1,1,LC_1,1,corn,1,Cultivated Crops76
2,65,Cultivated Crops,1,1,LC_1,1,corn,1,Cultivated Crops65
2,32,Cultivated Crops,1,1,LC_1,1,corn,1,Cultivated Crops32
2,23,Cultivated Crops,1,1,LC_1,1,corn,1,Cultivated Crops23
2,54,Cultivated Crops,1,1,LC_1,1,corn,1,Cultivated Crops54
2,90,Cultivated Crops,1,1,LC_1,1,corn,1,Cultivated Crops90
2,4,Cultivated Crops,1,1,LC_1,1,corn,1,Cultivated Crops4
2,57,Cultivated Crops,1,1,LC_1,1,corn,1,Cultivated Crops57
2,97,Cultivated Crops,1,1,LC_1,1,corn,1,Cultivated Crops97
2,89,Cultivated Crops,1,1,LC_1,1,corn,1,Cultivated Crops89
2,21,Cultivated Crops,1,1,LC_1,1,corn,1,Cultivated Crops21
2,74,Cultivated Crops,1,1,LC_1,1,corn,1,Cultivated Crops74
2,75,Cultivated Crops,1,1,LC_1,1,corn,1,Cultivated Crops75
3,29,Cultivated Crops,1,1,LC_1,1,muscadine,1,Cultivated Crops29
3,26,Cultivated Crops,1,1,LC_1,1,muscadine,1,Cultivated Crops26
3,20,Cultivated Crops,1,1,LC_1,1,muscadine,1,Cultivated Crops20
3,59,Cultivated Crops,1,1,LC_1,1,muscadine,1,Cultivated Crops59
3,72,Cultivated Crops,1,1,LC_1,1,muscadine,1,Cultivated Crops72
3,51,Cultivated Crops,1,1,LC_1,1,muscadine,1,Cultivated Crops51
3,39,Cultivated Crops,1,1,LC_1,1,muscadine,1,Cultivated Crops39
3,92,Cultivated Crops,1,1,LC_1,1,muscadine,1,Cultivated Crops92
3,93,Cultivated Crops,1,1,LC_1,1,muscadine,1,Cultivated Crops93
3,94,Cultivated Crops,1,1,LC_1,1,muscadine,1,Cultivated Crops94
3,69,Cultivated Crops,1,1,LC_1,1,muscadine,1,Cultivated Crops69
3,31,Cultivated Crops,1,1,LC_1,1,muscadine,1,Cultivated Crops31
3,58,Cultivated Crops,1,1,LC_1,1,muscadine,1,Cultivated Crops58
3,98,Cultivated Crops,1,1,LC_1,1,muscadine,1,Cultivated Crops98
3,60,Cultivated Crops,1,1,LC_1,1,muscadine,1,Cultivated Crops60
3,48,Cultivated Crops,1,1,LC_1,1,muscadine,1,Cultivated Crops48
3,36,Cultivated Crops,1,1,LC_1,1,muscadine,1,Cultivated Crops36
1,16,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops16
1,3,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops3
1,46,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops46
1,2,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops2
1,15,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops15
1,55,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops55
1,4,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops4
1,26,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops26
1,40,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops40
1,72,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops72
1,81,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops81
1,30,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops30
1,83,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops83
1,54,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops54
1,85,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops85
1,12,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops12
1,35,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops35
1,45,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops45
1,67,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops67
1,98,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops98
1,65,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops65
1,53,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops53
1,58,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops58
1,76,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops76
1,69,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops69
1,96,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops96
1,10,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops10
1,80,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops80
1,38,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops38
1,48,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops48
1,79,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops79
1,23,Cultivated Crops,1,1,LC_1,2,clover,1,Cultivated Crops23
